comment,clean_comment,sentiment
Menurut gw ini sih video ai nya bagus dan realistis ketimbang web video ai lain nya 👍🏻,menurut gw ini sih video ai nya bagus dan realistis ketimbang web video ai lain nya 👍🏻,positive
Wow... mantab sekali.. cocok bgt buat video iklan.. fantastiss..,wow mantab sekali cocok bgt buat video iklan fantastiss,positive
Gemini veo 3 keren,gemini veo  keren,positive
"Cocok di Greenland, di sana hawanya dingin seringnya daerah di Greenland beku, cocok jualan tahu gejrot.",cocok di greenland di sana hawanya dingin seringnya daerah di greenland beku cocok jualan tahu gejrot,positive
"Bos... tolong buat Video tutorial , buat video promosi dengan wajah kita sendiri.. trimakasih",bos tolong buat video tutorial  buat video promosi dengan wajah kita sendiri trimakasih,neutral
pake veo 2 juga bagus tp ya bnyk kekurangannya juga tp bisa generate banyak,pake veo  juga bagus tp ya bnyk kekurangannya juga tp bisa generate banyak,positive
Bintang iklan mulai terancam 😂😂,bintang iklan mulai terancam 😂😂,neutral
Buat donk film dr veo 3,buat donk film dr veo,neutral
Bikin Video AI Buat Promosi Jualan,bikin video ai buat promosi jualan,neutral
"Veo 1, veo 2, veo.3 ,veo.4, veo 5, veo6, veo 7, veo 9  veo 10.Veo.10= Youtube Tutup",veo  veo  veo veo veo  veo veo  veo   veo veo youtube tutup,neutral
pakai vpn ka biar merubah dr veo 2 ke veo 3 ka.. pilih wilayah amerika ka,pakai vpn ka biar merubah dr veo  ke veo  ka pilih wilayah amerika ka,neutral
"Bang ,, veo 3 ini bisa bikin 3d rumah bang ,, toling jawab",bang  veo  ini bisa bikin d rumah bang  toling jawab,neutral
Bikinin bang buat produk sandal saya. Byr brp,bikinin bang buat produk sandal saya byr brp,neutral
"Bang kok di hp saya tetep veo2? Padahal sudah pro, dan sudah ganti vpn Amerika dll tetap gak bisa veo3",bang kok di hp saya tetep veo padahal sudah pro dan sudah ganti vpn amerika dll tetap gak bisa veo,negative
"bang..mau tanya, kalo seumpama, produk nya spesifik gitu kira2 vo3 bisa ga membuat nya, misal bikin jualan snack yang ada packaging nya dengan gambar yang sesuai denga pacakging tsb walau mungkin sekilas apabila pacagking itu sedang di pegang soarang anak kecil misal nya.",bangmau tanya kalo seumpama produk nya spesifik gitu kira vo bisa ga membuat nya misal bikin jualan snack yang ada packaging nya dengan gambar yang sesuai denga pacakging tsb walau mungkin sekilas apabila pacagking itu sedang di pegang soarang anak kecil misal nya,neutral
"Samaaa, apa harus pake leptop ya? Tp saya coba dilwptop juga masih tetap veo2",samaaa apa harus pake leptop ya tp saya coba dilwptop juga masih tetap veo,neutral
"Sekarang ini blm bisa di veo 3 sih, cuma bisa text to video.. Pake google flow kayanya bisa itu",sekarang ini blm bisa di veo  sih cuma bisa text to video pake google flow kayanya bisa itu,neutral
bang kl veo 2 blm bisa untuk generate video y?,bang kl veo  blm bisa untuk generate video y,neutral
bang kenapa digoogle gemini belum muncul tombol video buat cek apakah sudah menggunakan veo3 atau 2?,bang kenapa digoogle gemini belum muncul tombol video buat cek apakah sudah menggunakan veo atau,neutral
Kak sy sudah instal vpn dan gemini pro tp kenapa di gemini masih veo2 ya. Gimn ya supaya bisa connect. N videonya kenapa ga bisa panjang ya,kak sy sudah instal vpn dan gemini pro tp kenapa di gemini masih veo ya gimn ya supaya bisa connect n videonya kenapa ga bisa panjang ya,neutral
"Izin Om Bagi Teks'y Karna Sya Juga Jualan Tahu Gejrot, Mohon di jawab",izin om bagi teksy karna sya juga jualan tahu gejrot mohon di jawab,neutral
"Vpn lokasinya pilih Amerika, coba klik di veo 2 nya nanti ada pilihan veo 3.. Durasi 8 detik sekali generate, di edit aja sambung2 klo mau panjang",vpn lokasinya pilih amerika coba klik di veo  nya nanti ada pilihan veo  durasi  detik sekali generate di edit aja sambung klo mau panjang,neutral
"Fiktif om, emang itu kelebihannya veo om hehe",fiktif om emang itu kelebihannya veo om hehe,neutral
Jual promtnya bang,jual promtnya bang,neutral
Klo di veo 3 sendiri belum bisa paling combine pake AI yang lain om faceswap gtu,klo di veo  sendiri belum bisa paling combine pake ai yang lain om faceswap gtu,neutral
Kalo kita masukin gambar sample produk bisa ga ya?,kalo kita masukin gambar sample produk bisa ga ya,neutral
"Bang,  gimana caranya biar bikin veo 3 tanpa limit.",bang  gimana caranya biar bikin veo  tanpa limit,neutral
"Ka aku udah updat ke versi pro tapi veo 3 ny koq gak muncul""",ka aku udah updat ke versi pro tapi veo  ny koq gak muncul,negative
Klo di veo blm bisa om,klo di veo blm bisa om,neutral
Kalo di veo blm bisa om hrs tambah pake ai faceswap gtu,kalo di veo blm bisa om hrs tambah pake ai faceswap gtu,neutral
Klo veo 3 nya blm bisa,klo veo  nya blm bisa,neutral
Belum bisa om di veo cuma bisa text to video.. Paling pake aplikasi lain swap face gtu,belum bisa om di veo cuma bisa text to video paling pake aplikasi lain swap face gtu,neutral
Udah pake vpn kok masih veo 2 stlh di reload mas?,udah pake vpn kok masih veo  stlh di reload mas,neutral
Cara daftar  gratis Veo 3 harus pake kartu credit gmn cara nya bikin kartu kredit ya 😂,cara daftar  gratis veo  harus pake kartu credit gmn cara nya bikin kartu kredit ya 😂,neutral
Kadang veo 3 gda suara gmna tuh bang,kadang veo  gda suara gmna tuh bang,neutral
"Di utak atik VPNnya kak gonta ganti server , sampe dapet veo 3 , kalo Aku biasa kalo ga singapure france",di utak atik vpnnya kak gonta ganti server  sampe dapet veo   kalo aku biasa kalo ga singapure france,neutral
Veo 3 apa 2 om?,veo  apa  om,neutral
"Veo 2,,nah cara biar jadi veo 3 gmn bang ​ @WisnuAIPro ",veo nah cara biar jadi veo  gmn bang ​ wisnuaipro,neutral
Yang ngga ada suara veo2 bang.,yang ngga ada suara veo bang,neutral
"Lama lama orang tidak di butuhkan lagi untuk mempromosikan produk, hemat biaya bayar orang publik figur semakin nganggur.😂",lama lama orang tidak di butuhkan lagi untuk mempromosikan produk hemat biaya bayar orang publik figur semakin nganggur😂,negative
"pakai VPN, pastikan videonya sudah ke veo 3",pakai vpn pastikan videonya sudah ke veo,neutral
G keluar suara padahal sudah veo 3,g keluar suara padahal sudah veo,neutral
Ini yg lagi viral.. veo 3.. trims atas infonya...,ini yg lagi viral veo  trims atas infonya,neutral
Aku affiliate pake ai Veo 2 baru 1 minggu itupun gak konsisten tapi gak pernah kena pl sekalipun Terus ada 1 vt yang kena gmv max  hampir 200 ribu tanyangan padahal cuman iseng 😂,aku affiliate pake ai veo  baru  minggu itupun gak konsisten tapi gak pernah kena pl sekalipun terus ada  vt yang kena gmv max  hampir  ribu tanyangan padahal cuman iseng 😂,negative
Saya bisa dapatkan veo 3 gratis 15 bulan sayangnya ada pembatasan,saya bisa dapatkan veo  gratis  bulan sayangnya ada pembatasan,neutral
saya pakai veo 3 buat hook di awal video aja. di AI expand pakai capcut.,saya pakai veo  buat hook di awal video aja di ai expand pakai capcut,neutral
Solusinya produknya kaos celana polos bang,solusinya produknya kaos celana polos bang,neutral
Emang dia bisa buat motif yang sama ? Kayak produk yang mau kita promosi di TT,emang dia bisa buat motif yang sama  kayak produk yang mau kita promosi di tt,neutral
Bang punyaku dibatesin jadi veo 3 ku kena limit bilangnya 1 juni malah diperpanjang sampe 7 juni jadi ga bisa bikin pake veo 3 😢 ada solusi kah bang . Btw ini udah ketiga kalinya diperpanjang 😂,bang punyaku dibatesin jadi veo  ku kena limit bilangnya  juni malah diperpanjang sampe  juni jadi ga bisa bikin pake veo  😢 ada solusi kah bang  btw ini udah ketiga kalinya diperpanjang 😂,neutral
Yaelah klo gerak gerak doang mah gausah pke veo 3 bg.,yaelah klo gerak gerak doang mah gausah pke veo  bg,neutral
Tutor gemini veo 3 bang,tutor gemini veo  bang,neutral
Can you create 9:16 videos using veo3?,can you create  videos using veo,neutral
