video_url,username,comment,time,likes
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@globalcellindo7496,Kalau keluar bahasa inggris itu VPN nya rubah negara karna kalau VPN gratis ada limit nya kalau limit sudah habis jangan diconect kan lagi negara yg sudah dipakai,1 hari yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@zaki_gamingyt123,Menurut gw ini sih video ai nya bagus dan realistis ketimbang web video ai lain nya 👍🏻,2 minggu yang lalu,11
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@RSubektiID,Terlihat natural oke juga,4 jam yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@VirtualSeduction68,"Truly breathtaking. The way everything flowed—the visuals, the soundscape—it all just clicked on a deep level. You've crafted something that feels alive, and that’s no easy feat with AI. I’m at the beginning of my own creative road in this field, and your work is fuel for the fire. Big inspiration, and major respect to you! 🚀🎨",2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@ibink87,Wow... mantab sekali.. cocok bgt buat video iklan.. fantastiss..,2 minggu yang lalu,2
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@iwanchannelrs2847,Ok bang wisnu mksh tutor nya bermanfaat ..👏🤭,11 hari yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@Ariewahyudii,Sangat jos,9 hari yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@antey0601,keren bang,2 minggu yang lalu,1
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@klangabutz19,Keren ilmunya kak,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@ArjunaKsatria-Eddie,"Wah mantep pisan euy, Kang",2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@kaisarryan3662,Keren bang ❤,13 hari yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@JonoSelamat-z8y,Keren pisan euy😊,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@ubur2ikanlele_uburandlele,"suasana Indonesia, seorang bapak - bapak memakai peci berjalan,medium shot,latar suasana rumah tradisional Indonesia bapak tersebut berkata dalam bahasa jawa : ""halo my friends kulo tiang jawker alias jawa keren kulo di gawe karo chanel randomes, ojo lali subscribe okee "" orang - orang dibelakang berkumpul sambil bilang ""ojo lali subscribe yoo"" lalu tertawa,style realistic",7 hari yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@FEBRIASTREAM,keren ai  :),2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@Suhadi-t9k,Hadir menyapa dari Penyadap karet 🙏,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@haris_supriadi,Keren bang,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@bismarabadi,"Tambah ilmu baru Makasih mas bro semangat terus berkarya",2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@tvalif,"saya yakin tidak lama lagi, muncul banyak pesaingnya....",2 minggu yang lalu,1
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@tobyramasenzu6323,Gemini veo 3 keren,13 hari yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@mr.y280,"Cocok di Greenland, di sana hawanya dingin seringnya daerah di Greenland beku, cocok jualan tahu gejrot.",2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@WisnuAIPro,"Siap om, trims",2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@SasaPutriiqeila,​ @WisnuAIPro  ko tidak ada suaranya saya ya,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@ngajidiri-u6m,Gratiis apa bayar om?,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@WisnuAIPro,Haha bisa jadi om,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@WisnuAIPro,Bahahaha,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@ferrymulianto8132,Keren,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@siapengchannel,Waw ngeri cuy,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@pagar5610,"keren, tolong dilike biar bisa kembali.. hihi",2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@majeliswarga019,Joss,2 minggu yang lalu (diedit),0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@MataDasendria,"Bos... tolong buat Video tutorial , buat video promosi dengan wajah kita sendiri.. trimakasih",2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@faridalrangkuti3882,pake veo 2 juga bagus tp ya bnyk kekurangannya juga tp bisa generate banyak,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@braymarcobray6331,paling berpotensi utk provokasi politik dg sasaran masyarakat yg SDM ketinggalan.,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@boomdada293,Bintang iklan mulai terancam 😂😂,2 minggu yang lalu,1
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@chikojeremy3900,tahu gejrot mama sultan memang maknyuss,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@FaisalTasik-m7m,Buat donk film dr veo 3,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@antorh7959,kalau kena pembatasan tinggal klik new chat aja bang. nanti bisa generate video lagi,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@Jaguar-06-u7p,"Mungkin yg muncul bahasa Inggris kalau kata pertama depan nya kyk bahasa Inggris seperti ""Greenland"" tapi kalau depan kata nya pakai ada bahasa Indonesia nya jadi muncul Bahasa Indonesia seperti Video terakhir ""Warga Greenland"" ada kata ""Warga"" di depan nya",2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@deviximoush,harus ya ada orang ketawa2 😂,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@wahyudiputrah1522,Kalo orangnya pakai fisik kita gimana om ?,2 minggu yang lalu,1
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@arissutanto1286,"Bang requst Ucapan ULTAH,, Kebetulan di Tmpt kerja saya akan ulang tahun.. Mau liat hasil dan promt yg bagus",9 hari yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@ArfaDanil,"suasana Indonesia anak muda
berjalan, medium shot latar suasana sorum Indonesia anak muda tersebut berkata dalam bahasa Indonesia:
"" bapak ibu warga metro lampung jangan lupa mampir ke sorum rd metro, pasti bagus bagus loh unti nya monggo di liat liat dulu"" 
orang-orang  di belakang berkumpul sambil bilang mantap lalu tertawa, style realistic",2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@rickyagustian2046,durasinya bisa panjang tidak ya ka,12 hari yang lalu,1
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@muhammadluthfi3489,4:07 yang ibu2 ini kok kayak mirip siapa ya mukanya?,12 hari yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@saputra3329,Serem tekhnologi skrg,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@Arwanah-j5u7d,Kak.. Tutor cara menautkan akun pembayaran,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@user-cd8me9we8o,😂😂,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@WisnuAIPro,Hahahaa,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@KUTiS_2M,kalok teks gitu bicaranya jadi gitu.,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@SandyRaksa,Video saya pake nya bahasa inggris mulu bang knapa ya,2 minggu yang lalu,0
https://youtu.be/H8B8NESbRCE?si=IQiz-sJvU1yUannt,@Jaguar-06-u7p,"​ @SandyRaksa utamakan kata depan nya menggunakan kata dari bahasa Indonesia yg sesuai, atau pas waktu buat prompt ke dalam bahasa Inggris nya kata kata nya ada yg diterjemahkan dlm bahasa Inggris buasa nya ada yg di dalam tanda kurung, nah itu hapus aja yg di dalam tanda kurung itu",2 minggu yang lalu,0
