username,comment,time,likes,sentimen,kepercayaan
@globalcellindo7496,Kalau keluar bahasa inggris itu VPN nya rubah negara karna kalau VPN gratis ada limit nya kalau limit sudah habis jangan diconect kan lagi negara yg sudah dipakai,10 jam yang lalu,0,positif,0.7017742395401001
@zaki_gamingyt123,Menurut gw ini sih video ai nya bagus dan realistis ketimbang web video ai lain nya 👍🏻,2 minggu yang lalu,11,negatif,0.9357708096504211
@VirtualSeduction68,"Truly breathtaking. The way everything flowed—the visuals, the soundscape—it all just clicked on a deep level. You've crafted something that feels alive, and that’s no easy feat with AI.
I’m at the beginning of my own creative road in this field, and your work is fuel for the fire. Big inspiration, and major respect to you! 🚀🎨",2 minggu yang lalu,0,netral,0.4619393050670624
@Ariewahyudii,Sangat jos,8 hari yang lalu,0,negatif,0.997195839881897
@iwanchannelrs2847,Ok bang wisnu mksh tutor nya bermanfaat ..👏🤭,10 hari yang lalu,0,negatif,0.639159619808197
@ubur2ikanlele_uburandlele,"suasana Indonesia, seorang bapak - bapak memakai peci berjalan,medium shot,latar suasana rumah tradisional Indonesia bapak tersebut berkata dalam bahasa jawa : ""halo my friends kulo tiang jawker alias jawa keren kulo di gawe karo chanel randomes, ojo lali subscribe okee "" orang - orang dibelakang berkumpul sambil bilang ""ojo lali subscribe yoo"" lalu tertawa,style realistic",6 hari yang lalu,0,negatif,0.7707246541976929
@ibink87,Wow... mantab sekali.. cocok bgt buat video iklan.. fantastiss..,2 minggu yang lalu,2,negatif,0.9969593286514282
@antey0601,keren bang,2 minggu yang lalu,1,negatif,0.9969822764396667
@klangabutz19,Keren ilmunya kak,2 minggu yang lalu,0,negatif,0.9960578680038452
@mr.y280,"Cocok di Greenland, di sana hawanya dingin seringnya daerah di Greenland beku, cocok jualan tahu gejrot.",2 minggu yang lalu,0,negatif,0.9977946281433105
@kaisarryan3662,Keren bang ❤,12 hari yang lalu,0,negatif,0.9958143830299377
@FEBRIASTREAM,keren ai  :),2 minggu yang lalu,0,negatif,0.9947565793991089
@JonoSelamat-z8y,Keren pisan euy😊,2 minggu yang lalu,0,negatif,0.9961957931518555
@ArjunaKsatria-Eddie,"Wah mantep pisan euy, Kang",2 minggu yang lalu,0,negatif,0.9955495595932007
@ferrymulianto8132,Keren,2 minggu yang lalu,0,negatif,0.9971580505371094
@Suhadi-t9k,Hadir menyapa dari Penyadap karet 🙏,2 minggu yang lalu,0,netral,0.9940966367721558
@haris_supriadi,Keren bang,2 minggu yang lalu,0,negatif,0.9969822764396667
@tvalif,"saya yakin tidak lama lagi, muncul banyak pesaingnya....",2 minggu yang lalu,1,negatif,0.6599745750427246
@majeliswarga019,Joss,2 minggu yang lalu (diedit),0,negatif,0.9957478642463684
@tobyramasenzu6323,Gemini veo 3 keren,12 hari yang lalu,0,negatif,0.9946803450584412
@WisnuAIPro,Bahahaha,2 minggu yang lalu,0,negatif,0.9494085907936096
@WisnuAIPro,Haha bisa jadi om,2 minggu yang lalu,0,negatif,0.5285595655441284
@siapengchannel,Waw ngeri cuy,2 minggu yang lalu,0,positif,0.8539307117462158
@MataDasendria,"Bos... tolong buat Video tutorial , buat video promosi dengan wajah kita sendiri.. trimakasih",2 minggu yang lalu,0,netral,0.9806811213493347
@faridalrangkuti3882,pake veo 2 juga bagus tp ya bnyk kekurangannya juga tp bisa generate banyak,2 minggu yang lalu,0,negatif,0.9554765224456787
@bismarabadi,"Tambah ilmu baru
Makasih mas bro semangat terus berkarya",2 minggu yang lalu,0,negatif,0.950925350189209
@pagar5610,"keren, tolong dilike biar bisa kembali.. hihi",2 minggu yang lalu,0,positif,0.4883498549461365
@braymarcobray6331,paling berpotensi utk provokasi politik dg sasaran masyarakat yg SDM ketinggalan.,2 minggu yang lalu,0,positif,0.9842236638069153
@antorh7959,kalau kena pembatasan tinggal klik new chat aja bang. nanti bisa generate video lagi,2 minggu yang lalu,0,netral,0.993021547794342
@boomdada293,Bintang iklan mulai terancam 😂😂,2 minggu yang lalu,1,positif,0.8185244798660278
@chikojeremy3900,tahu gejrot mama sultan memang maknyuss,2 minggu yang lalu,0,negatif,0.9970207810401917
@FaisalTasik-m7m,Buat donk film dr veo 3,2 minggu yang lalu,0,netral,0.9764093160629272
@Jaguar-06-u7p,"Mungkin yg muncul bahasa Inggris kalau kata pertama depan nya kyk bahasa Inggris seperti ""Greenland"" tapi kalau depan kata nya pakai ada bahasa Indonesia nya jadi muncul Bahasa Indonesia seperti Video terakhir ""Warga Greenland"" ada kata ""Warga"" di depan nya",2 minggu yang lalu,0,netral,0.5659186244010925
@deviximoush,harus ya ada orang ketawa2 😂,2 minggu yang lalu,0,positif,0.9004027843475342
@wahyudiputrah1522,Kalo orangnya pakai fisik kita gimana om ?,2 minggu yang lalu,1,positif,0.8565306067466736
@muhammadluthfi3489,4:07 yang ibu2 ini kok kayak mirip siapa ya mukanya?,11 hari yang lalu,0,positif,0.9499393105506897
@arissutanto1286,"Bang requst Ucapan ULTAH,, Kebetulan di Tmpt kerja saya akan ulang tahun.. Mau liat hasil dan promt yg bagus",8 hari yang lalu,0,netral,0.5025338530540466
@Arwanah-j5u7d,Kak.. Tutor cara menautkan akun pembayaran,2 minggu yang lalu,0,netral,0.9979063272476196
@rickyagustian2046,durasinya bisa panjang tidak ya ka,11 hari yang lalu,1,netral,0.963650107383728
@saputra3329,Serem tekhnologi skrg,2 minggu yang lalu,0,positif,0.9923675656318665
@gamesplaysandroid1370,keren hu gimana cara agar karakter  konsisten,2 minggu yang lalu,1,negatif,0.9777631163597107
@adi_candra007,Bikin Video AI Buat Promosi Jualan,2 minggu yang lalu,0,netral,0.9876486659049988
@WisnuAIPro,"Siap om, trims",2 minggu yang lalu,0,negatif,0.8249875903129578
@SasaPutriiqeila,​ @WisnuAIPro  ko tidak ada suaranya saya ya,2 minggu yang lalu,0,positif,0.7373582124710083
